Record ID,Associated company ID,Association label
51000689,437600010053,Primary
51000690,437600004468,Primary
51000691,437600007819,Primary
51000692,437600011170,Primary
51000693,437600011170,Primary
51000694,437600002234,Primary
51000696,437600005585,Primary
51000697,437600007819,Primary
51000698,437600011170,Primary
51000699,437600005585,Primary
51000702,437600007819,Primary
51000703,437600002234,Primary
51000704,437600003351,Primary
51000705,437600003351,Primary
51000707,437600003351,Primary
51000708,437600007819,Primary
51000712,437600004468,Primary
51000714,437600011170,Primary
51000716,437600011170,Primary
51000720,437600006702,Primary
51000721,437600010053,Primary
51000722,437600001117,Primary
51000724,437600001117,Primary
51000725,437600003351,Primary
51000726,437600003351,Primary
51000727,437600007819,Primary
51000729,437600008936,Primary
51000730,437600011170,Primary
51000731,437600005585,Primary
51000732,437600006702,Primary
51000734,437600002234,Primary
51000735,437600006702,Primary
51000736,437600005585,Primary
51000737,437600011170,Primary
51000738,437600002234,Primary
51000742,437600004468,Primary
51000743,437600008936,Primary
51000746,437600008936,Primary
51000748,437600001117,Primary
51000749,437600010053,Primary
51000751,437600011170,Primary
51000757,437600010053,Primary
51000759,437600002234,Primary
51000760,437600004468,Primary
51000762,437600011170,Primary
51000764,437600010053,Primary
51000766,437600010053,Primary
51000769,437600011170,Primary
51000772,437600001117,Primary
51000775,437600008936,Primary
51000778,437600008936,Primary
51000779,437600007819,Primary
51000780,437600002234,Primary
51000781,437600011170,Primary
51000782,437600010053,Primary
51000783,437600003351,Primary
51000784,437600006702,Primary
51000785,437600002234,Primary
51000787,437600005585,Primary
51000791,437600005585,Primary
51000792,437600010053,Primary
51000794,437600006702,Primary
51000795,437600001117,Primary
51000798,437600005585,Primary
51000800,437600004468,Primary
51000801,437600011170,Primary
51000802,437600001117,Primary
51000803,437600004468,Primary
51000806,437600007819,Primary
51000807,437600011170,Primary
51000809,437600002234,Primary
51000815,437600007819,Primary
51000817,437600003351,Primary
51000818,437600001117,Primary
51000819,437600005585,Primary
51000825,437600002234,Primary
51000827,437600001117,Primary
51000828,437600011170,Primary
51000831,437600001117,Primary
51000833,437600006702,Primary
51000836,437600004468,Primary
51000837,437600001117,Primary
51000838,437600007819,Primary
51000841,437600001117,Primary
51000844,437600010053,Primary
51000845,437600008936,Primary
51000846,437600003351,Primary
51000847,437600005585,Primary
51000850,437600005585,Primary
51000851,437600011170,Primary
51000852,437600010053,Primary
